servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion,zona_h,zona_h_num,seccion
104I,PC22,340.5,0101000020E6100000E49234D3BDA651C00FDCA83332B640C0,-33.4234070372114,-70.6053359998146,2,Punta,1,S1
104I,PC23,331.5,0101000020E6100000C6894598A2A651C0CCAC5316A5B640C0,-33.4269130619592,-70.603673999699,2,Punta,1,S1
104I,PC24,355.45,0101000020E6100000D1316F0B96A651C0C2AA8E0803B740C0,-33.4297800728432,-70.6029079995999,2,Punta,1,S1
104I,PC25,304.57142857142856,0101000020E610000064D39B8F81A651C072C0B4D499B740C0,-33.4343820459916,-70.6016577741371,2,Punta,1,S1
104I,PC26,319.05555555555554,0101000020E6100000707CBA4A77A651C0562B2D50E6B740C0,-33.4367161007455,-70.6010310002473,2,Punta,1,S1
104I,PC27,283.1363636363636,0101000020E610000048F6748F6CA651C0FEC1E9F434B840C0,-33.4391161099811,-70.6003759996612,2,Punta,1,S1
104I,PC28,284.8181818181818,0101000020E61000007830616F62A651C04BDFE9397EB840C0,-33.4413521186785,-70.5997580002894,2,Punta,1,S1
104I,PC37,293.0,0101000020E6100000D944B8CCE9A651C058F4370AD7B540C0,-33.4206249974456,-70.6080200004102,2,Punta,1,S1
104I,PD107,363.10526315789474,0101000020E61000002463558847A651C095AC94F647BA40C0,-33.4553211427639,-70.5981160005436,2,Punta,1,S1
104I,PD1417,180.81578947368422,0101000020E61000007A958EE301A651C072FB8B8F58C040C0,-33.5027026589877,-70.5938652889653,2,Punta,1,S1
104I,PD1449,261.0740740740741,0101000020E61000004EC5A7E460A651C01800C61B63BE40C0,-33.4873995510863,-70.5996638906847,2,Punta,1,S1
104I,PD53,281.09090909090907,0101000020E6100000DA67F1ED58A651C02A3129C806B940C0,-33.4455194665082,-70.5991778237798,2,Punta,1,S1
104I,PD54,388.3888888888889,0101000020E6100000C5B52D074BA651C0498508197DB940C0,-33.4491301814656,-70.5983293482196,2,Punta,1,S1
104I,PD56,396.6470588235294,0101000020E6100000B0AAD0B649A651C0FD74F768C6B940C0,-33.451367493466,-70.5982491529237,2,Punta,1,S1
104I,PD57,404.05882352941177,0101000020E6100000CE81BAE74EA651C06A6AA3A804BA40C0,-33.4532671735695,-70.5985659905775,2,Punta,1,S1
104I,PD58,360.7368421052632,0101000020E610000085206D4D47A651C08E070A6CBFBA40C0,-33.4589667366955,-70.5981019559568,2,Punta,1,S1
104I,PD59,395.2352941176471,0101000020E610000028F3774E49A651C07619F0CB14BB40C0,-33.4615721628533,-70.5982242747674,2,Punta,1,S1
104I,PD60,445.53333333333336,0101000020E6100000C315DB334BA651C01D5FD10459BB40C0,-33.4636541387865,-70.5983400001051,2,Punta,1,S1
104I,PD61,347.7,0101000020E61000005E7086DF4DA651C05261A8DEB0BB40C0,-33.4663351366204,-70.5985029995804,2,Punta,1,S1
104I,PD62,231.3548387096774,0101000020E6100000515B9EE74FA651C0380842D204BC40C0,-33.4688971350119,-70.5986269995167,2,Punta,1,S1
104I,PD63,209.58823529411765,0101000020E610000097EBE9CD51A651C05AD954D842BC40C0,-33.4707899488737,-70.5987429413202,2,Punta,1,S1
104I,PD64,187.18421052631578,0101000020E61000008000E5B853A651C0963CA7749BBC40C0,-33.4734941307626,-70.598860000262,2,Punta,1,S1
104I,PD65,207.7058823529412,0101000020E6100000A9B6340456A651C045A92A3CF6BC40C0,-33.4762644966418,-70.5990000262051,2,Punta,1,S1
104I,PD66,203.64705882352942,0101000020E61000002BB4368E58A651C06CED497750BD40C0,-33.4790181265806,-70.5991550001351,2,Punta,1,S1
104I,PD67,202.77142857142857,0101000020E6100000EC8D29FF5AA651C03AF7B68EB1BD40C0,-33.4819811242473,-70.5993039995007,2,Punta,1,S1
104I,PD68,155.0,0101000020E6100000E8EEA6AE5DA651C074FC62FA14BE40C0,-33.4850151999789,-70.5994679098327,2,Punta,1,S1
104I,PD69,198.97142857142856,0101000020E6100000563B104962A651C09AB04772B4BE40C0,-33.4898817873047,-70.5997488649858,2,Punta,1,S1
104I,PD70,160.14285714285714,0101000020E6100000FBFF234564A651C04125B4371BBF40C0,-33.4930181150071,-70.5998700000345,2,Punta,1,S1
104I,PD71,201.61764705882354,0101000020E6100000D065B6114FA651C022200D6B87BF40C0,-33.4963201345529,-70.5985760003307,2,Punta,1,S1
104I,PD72,245.5185185185185,0101000020E6100000692884CB31A651C0F44C8FAED7BF40C0,-33.4987695884428,-70.5967892447094,2,Punta,1,S1
104I,PD73,207.59375,0101000020E6100000847BDBE518A651C0DC2A645A1AC040C0,-33.5008042325114,-70.5952696460136,2,Punta,1,S1
104I,PD74,219.1,0101000020E6100000D159C148E0A551C02AF16BF0B3C040C0,-33.5054913069783,-70.5918142212097,2,Punta,1,S1
104I,PD75,189.63888888888889,0101000020E6100000A31ABD50C0A551C024DBEA290FC140C0,-33.5082752606161,-70.5898629996032,2,Punta,1,S1
104I,PD76,391.1875,0101000020E6100000F8CF48055EA651C040C9099E55B940C0,-33.4479253337654,-70.5994885645922,2,Punta,1,S1
104I,PD77,667.8571428571429,0101000020E61000008AAE6A166EA651C0636DC3BDAAB940C0,-33.4505231098399,-70.6004692117514,0,Punta,1,S1
104I,PD78,350.38461538461536,0101000020E61000009C92030B68A651C0FEA91E2220BA40C0,-33.4541056298949,-70.6001002821817,2,Punta,1,S1
104I,PD79,310.5,0101000020E61000005A90E7E661A651C07C8998CB61BA40C0,-33.4561094755945,-70.5997254620901,2,Punta,1,S1
104I,PD80,350.38461538461536,0101000020E6100000F510073766A651C07496136DB0BA40C0,-33.4585090966838,-70.5999887055403,2,Punta,1,S1
104I,PD81,327.46153846153845,0101000020E610000034BC621A69A651C03DCD110915BB40C0,-33.4615794503138,-70.6001649822436,2,Punta,1,S1
104I,PD82,341.15384615384613,0101000020E6100000D0BC21396BA651C02A60B6C96DBB40C0,-33.4642879620081,-70.6002943829983,2,Punta,1,S1
104I,PD83,350.25,0101000020E610000027FD895B6DA651C04275C47FB9BB40C0,-33.4665984830158,-70.6004246566341,2,Punta,1,S1
104I,PD84,321.0,0101000020E61000009A910B7558A651C0C895BDDD0BBC40C0,-33.4691121268948,-70.599148999498,2,Punta,1,S1
104I,PE10,186.69444444444446,0101000020E6100000F9C3CEF412A551C08AAF845ACEC240C0,-33.5219224117164,-70.5792819995112,2,Punta,1,S1
104I,PE11,199.5,0101000020E61000009B1A53ADF9A451C019CD425F43C340C0,-33.5254935337236,-70.577739077717,2,Punta,1,S1
104I,PE12,189.84375,0101000020E61000004A3283A3E4A451C07BC52BBDA5C340C0,-33.528495451329,-70.5764550000396,2,Punta,1,S1
104I,PE13,186.6764705882353,0101000020E61000005A22AA9ECCA451C0826BCC9F18C440C0,-33.5320014713425,-70.5749890004603,2,Punta,1,S1
104I,PE14,214.54545454545453,0101000020E61000005857FE40B9A451C08C9C5F8B87C440C0,-33.5353864876607,-70.573806999569,2,Punta,1,S1
104I,PE15,216.3548387096774,0101000020E6100000737F44DC9CA451C028E365A60AC540C0,-33.5393875119683,-70.572074000256,2,Punta,1,S1
104I,PE16,233.86206896551724,0101000020E6100000C9A0642680A451C06F4F7A1E8EC540C0,-33.5433996293276,-70.5703216536232,2,Punta,1,S1
104I,PE17,203.7741935483871,0101000020E61000002668D32B65A451C09D4B01E608C640C0,-33.5471465593648,-70.5686749996681,2,Punta,1,S1
104I,PE18,224.8,0101000020E61000002DB2A8E341A451C0FC22DD3366C640C0,-33.5499939756173,-70.5665215632841,2,Punta,1,S1
104I,PE19,281.3333333333333,0101000020E6100000E2295DA626A451C0EDBAD8CEA8C640C0,-33.5520266111615,-70.564859000187,2,Punta,1,S1
104I,PE20,363.2631578947368,0101000020E61000003A537E6DFDA351C0A0C9AC9B05C740C0,-33.554858645791,-70.5623429998058,2,Punta,1,S1
104I,PE21,290.0833333333333,0101000020E6100000EC531553E9A351C01523BBC236C740C0,-33.5563586629634,-70.5611160000114,2,Punta,1,S1
104I,PE22,231.41935483870967,0101000020E6100000A14C5D14C9A351C0618C26D58AC740C0,-33.5589243353104,-70.5591479216696,2,Punta,1,S1
104I,PE7,209.75757575757575,0101000020E61000005B747F6378A551C0DDABEFB7D2C140C0,-33.5142431183119,-70.5854729408906,2,Punta,1,S1
104I,PE8,232.86666666666667,0101000020E61000000894A5DA5EA551C0E8D5E70C17C240C0,-33.5163284427652,-70.5839144341445,2,Punta,1,S1
104I,PE9,208.65625,0101000020E6100000EA77EEAD48A551C09A46603A50C240C0,-33.5180733652207,-70.5825609997552,2,Punta,1,S1
104I,PF1,168.70731707317074,0101000020E610000068BE2FF99FA351C0C3ECC738E1C740C0,-33.5615607238956,-70.5566390005348,2,Punta,1,S1
104I,PF2,247.39285714285714,0101000020E61000005D7A66118AA351C0C44424FF2FC840C0,-33.5639647414296,-70.5553020001184,2,Punta,1,S1
104I,PF3,182.26315789473685,0101000020E61000007800FD3383A351C03F86F5CCD9C840C0,-33.5691467474794,-70.5548830004426,2,Punta,1,S1
104I,PF4,215.875,0101000020E61000009AB56F7B82A351C0D0855EB579C940C0,-33.5740267478501,-70.5548389998352,2,Punta,1,S1
104I,PC22,217.1818181818182,0101000020E6100000E49234D3BDA651C00FDCA83332B640C0,-33.4234070372114,-70.6053359998146,2,Punta,1,S2
104I,PC23,207.5,0101000020E6100000C6894598A2A651C0CCAC5316A5B640C0,-33.4269130619592,-70.603673999699,2,Punta,1,S2
104I,PC24,208.38235294117646,0101000020E6100000D1316F0B96A651C0C2AA8E0803B740C0,-33.4297800728432,-70.6029079995999,2,Punta,1,S2
104I,PC25,210.61764705882354,0101000020E610000064D39B8F81A651C072C0B4D499B740C0,-33.4343820459916,-70.6016577741371,2,Punta,1,S2
104I,PC26,202.88571428571427,0101000020E6100000707CBA4A77A651C0562B2D50E6B740C0,-33.4367161007455,-70.6010310002473,2,Punta,1,S2
104I,PC27,239.10344827586206,0101000020E610000048F6748F6CA651C0FEC1E9F434B840C0,-33.4391161099811,-70.6003759996612,2,Punta,1,S2
